Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hl7.at.fhir.gkl.ig-tooling.json	6331	-	0	0	0	0	0	0	8	73	0	0	0	0	0	0	0	0	0	0	104	99	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-AkteurHI.json	7192	11	0	53	0	0	0	0	0	36	0	0	1	0	0	0	0	1	0	0	291	1212	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-CDAPatient.json	1534	8	0	43	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	98	350	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-ErstdokumentationHI.json	21298	9	0	246	0	0	0	0	0	39	0	0	0	0	0	0	0	1	0	0	663	503	0	1	0	22	0	1
fsh-generated/resources/StructureDefinition-FolgedokumentationHI.json	23321	10	0	90	0	0	0	0	0	52	0	0	0	0	0	0	0	1	0	0	704	644	0	0	0	29	0	1
fsh-generated/resources/StructureDefinition-PatientHI.json	10331	8	0	43	0	0	0	0	0	1255	0	0	0	0	0	0	0	1	0	0	386	477	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-at-core-address.json	5753	6	0	52	2	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	227	439	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1563	6	0	16	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	81	271	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3890	6	0	22	1	0	0	0	0	787	0	0	0	0	0	0	0	0	0	0	230	413	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	26256	11	0	183	0	0	1	0	0	1656	0	0	1	0	0	0	0	4	0	0	1785	1445	0	0	0	57	0	3
input/resources/ValueSet-v3-EntityCode.xml	3723	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	5342	0	0	0	2	0	0
